,PDO
489,-0.89
490,-0.49
491,0.0
492,-1.41
493,-1.47
494,-1.75
495,-1.31
496,-0.51
497,-0.76
498,-0.9
499,-1.32
500,-1.03
501,-0.62
502,-1.58
503,-0.98
